// Start Time: Unknown
// Update Rate: 100.0Hz
// Filter Profile: human (46.1)
// Option Flags: AHS Disabled ICC Disabled 
// Firmware Version: 4.0.2
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	FreeAcc_X	FreeAcc_Y	FreeAcc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	VelInc_X	VelInc_Y	VelInc_Z	OriInc_q0	OriInc_q1	OriInc_q2	OriInc_q3	Mat[1][1]	Mat[2][1]	Mat[3][1]	Mat[1][2]	Mat[2][2]	Mat[3][2]	Mat[1][3]	Mat[2][3]	Mat[3][3]
09235	0	8.150628	0.078854	5.939040	-0.051095	-0.014238	0.272368	0.008819	0.007727	0.001081	-0.287842	0.077881	-0.790527	0.081509	0.000786	0.059387	1.000000	0.000044	0.000039	0.000005	0.574106	-0.113222	0.810915	0.179673	0.983674	0.010140	-0.798824	0.139878	0.585076
09236	0	8.167978	0.071701	5.910510	-0.019327	-0.027495	0.269673	0.004763	-0.000819	0.003743	-0.294434	0.073486	-0.806396	0.081680	0.000717	0.059105	1.000000	0.000024	-0.000004	0.000019	0.574106	-0.113184	0.810920	0.179614	0.983685	0.010137	-0.798837	0.139832	0.585069
09237	0	8.204513	0.077336	5.889902	0.018782	-0.028401	0.287303	0.009090	0.000147	0.006149	-0.291992	0.073486	-0.806396	0.082045	0.000773	0.058899	1.000000	0.000045	0.000001	0.000031	0.574094	-0.113080	0.810943	0.179507	0.983705	0.010091	-0.798870	0.139777	0.585038
09238	0	8.221113	0.080157	5.920073	0.004672	-0.023572	0.318444	0.011313	0.000219	0.001486	-0.291992	0.071289	-0.806396	0.082211	0.000799	0.059201	1.000000	0.000057	0.000001	0.000007	0.574099	-0.113065	0.810942	0.179408	0.983722	0.010145	-0.798889	0.139666	0.585039
09239	0	8.223285	0.091063	5.898383	0.025015	-0.016010	0.307627	0.009254	0.005942	0.002416	-0.287842	0.077881	-0.802002	0.082235	0.000909	0.058981	1.000000	0.000046	0.000030	0.000012	0.574118	-0.113001	0.810937	0.179318	0.983739	0.010128	-0.798895	0.139601	0.585045
09240	0	8.220593	0.080888	5.920785	0.004263	-0.022969	0.318445	0.009174	0.005588	0.003986	-0.294189	0.071045	-0.801758	0.082208	0.000808	0.059206	1.000000	0.000046	0.000028	0.000020	0.574170	-0.112969	0.810905	0.179222	0.983756	0.010150	-0.798880	0.139504	0.585090
09241	0	8.235283	0.063206	5.914627	0.014915	-0.042546	0.326576	0.008584	0.011751	0.005194	-0.287598	0.071289	-0.799561	0.082356	0.000632	0.059141	1.000000	0.000043	0.000059	0.000026	0.574243	-0.112884	0.810865	0.179124	0.983775	0.010102	-0.798848	0.139444	0.585146
09242	0	8.221945	0.091569	5.900244	0.024648	-0.015374	0.307629	0.009094	0.005234	0.005555	-0.294434	0.073242	-0.801758	0.082221	0.000915	0.059000	1.000000	0.000045	0.000026	0.000028	0.574295	-0.112837	0.810835	0.179020	0.983794	0.010111	-0.798835	0.139349	0.585188
09243	0	8.234617	0.063409	5.915551	0.014483	-0.041916	0.326579	0.009169	0.000502	0.004580	-0.291992	0.073242	-0.797119	0.082346	0.000633	0.059155	1.000000	0.000046	0.000003	0.000023	0.574274	-0.112738	0.810864	0.178912	0.983813	0.010074	-0.798874	0.139289	0.585148
09244	0	8.234516	0.063750	5.915689	0.014479	-0.041917	0.326579	0.008894	0.002994	0.000102	-0.294434	0.073242	-0.804199	0.082346	0.000635	0.059156	1.000000	0.000044	0.000015	0.000001	0.574297	-0.112741	0.810846	0.178841	0.983826	0.010125	-0.798873	0.139198	0.585171
